"Category","Peak Demand","Peak Met"
" Delhi<br>Jan-2020",5226,5226
" Delhi<br>Jan-2020",5226,5226
" Delhi<br>Feb-2020",4447,4447
" Delhi<br>Feb-2020",4447,4447
" Delhi<br>Mar-2020",3775,3775
" Delhi<br>Apr-2020",3362,3362
" Delhi<br>May-2020",5464,5464
" Delhi<br>Jun-2020",6314,6314
" Delhi<br>Jul-2020",6310,6310
" Delhi<br>Aug-2020",5737,5737
" Delhi<br>Sep-2020",6231,6231
" Delhi<br>Oct-2020",4820,4820
" Delhi<br>Nov-2020",3769,3769
" Delhi<br>Dec-2020",4671,4671
" Delhi<br>Jan-2021",5021,5021
" Delhi<br>Feb-2021",4486,4486
" Delhi<br>Mar-2021",3709,3709
" Delhi<br>Apr-2021",4372,4372
" Delhi<br>May-2021",4959,4959
" Delhi<br>Jun-2021",6921,6921
" Delhi<br>Jul-2021",7323,7323
" Delhi<br>Aug-2021",6550,6550
" Delhi<br>Sep-2021",5548,5548
" Delhi<br>Oct-2021",5391,5391
" Delhi<br>Nov-2021",3831,3831
" Delhi<br>Dec-2021",4685,4685
" Delhi<br>Jan-2022",5104,5104
" Delhi<br>Feb-2022",4985,4985
" Delhi<br>Feb-2022",4985,4985
" Delhi<br>Mar-2022",4648,4648
" Delhi<br>Mar-2022",4648,4648
" Delhi<br>Apr-2022",6197,6197
" Delhi<br>Apr-2022",6197,6197
" Delhi<br>May-2022",7070,7070
" Delhi<br>May-2022",7070,7070
" Delhi<br>Jun-2022",7695,7695
" Delhi<br>Jun-2022",7695,7695
" Delhi<br>Jul-2022",7517,7517
" Delhi<br>Jul-2022",7517,7517
" Delhi<br>Aug-2022",6446,6446
" Delhi<br>Sep-2022",6687,6687
" Delhi<br>Oct-2022",4990,4990
" Delhi<br>Nov-2022",3941,3941
" Delhi<br>Dec-2022",4964,4964
" Delhi<br>Jan-2023",5623,5526
" Delhi<br>Feb-2023",4667,4667
" Delhi<br>Mar-2023",3979,3979
" Delhi<br>Apr-2023",5422,5422
" Delhi<br>May-2023",6916,6916
" Delhi<br>Jun-2023",7226,7226
" Delhi<br>Jul-2023",7398,7398
" Delhi<br>Aug-2023",7437,7437
" Delhi<br>Sep-2023",6993,6993
" Delhi<br>Oct-2023",5583,5583
" Delhi<br>Nov-2023",4320,4320
" Delhi<br>Dec-2023",4884,4884
" Delhi<br>Jan-2024",5816,5816
" Delhi<br>Feb-2024",5406,5406
" Delhi<br>Mar-2024",4482,4482
" Delhi<br>Apr-2024",5447,5447
" Delhi<br>May-2024",8302,8302
" Delhi<br>Jun-2024",8656,8656